itemid,"icmppingloss[,{$PINGL},,,]_clock",num,value_min,"icmppingloss[,{$PINGL},,,]_avg",value_max
41107,"02/08/2021,14:00",60,0,0,0
41107,"02/08/2021,15:00",60,0,0,0
41107,"02/08/2021,16:00",60,0,0,0
41107,"02/08/2021,17:00",60,0,0,0
41107,"02/08/2021,18:00",60,0,0,0
41107,"02/08/2021,19:00",60,0,0,0
41107,"02/08/2021,20:00",60,0,0,0
41107,"02/08/2021,21:00",60,0,0,0
41107,"02/08/2021,22:00",60,0,0,0
41107,"02/08/2021,23:00",60,0,0,0
41107,"03/08/2021,00:00",60,0,0,0
41107,"03/08/2021,01:00",60,0,0,0
41107,"03/08/2021,02:00",60,0,0,0
41107,"03/08/2021,03:00",60,0,0,0
41107,"03/08/2021,04:00",60,0,0,0
41107,"03/08/2021,05:00",60,0,0,0
41107,"03/08/2021,06:00",60,0,0,0
41107,"03/08/2021,07:00",60,0,0,0
41107,"03/08/2021,08:00",60,0,0,0
41107,"03/08/2021,09:00",60,0,0,0
41107,"03/08/2021,10:00",60,0,0,0
41107,"03/08/2021,11:00",60,0,0,0
41107,"03/08/2021,12:00",60,0,0,0
41107,"03/08/2021,13:00",60,0,0,0
41107,"03/08/2021,14:00",60,0,0,0
41107,"03/08/2021,15:00",60,0,0,0
41107,"03/08/2021,16:00",60,0,0,0
41107,"03/08/2021,17:00",60,0,0,0
41107,"03/08/2021,18:00",60,0,0,0
41107,"03/08/2021,19:00",60,0,0,0
41107,"03/08/2021,20:00",60,0,0,0
41107,"03/08/2021,21:00",60,0,0,0
41107,"03/08/2021,22:00",60,0,0,0
41107,"03/08/2021,23:00",60,0,0,0
41107,"04/08/2021,00:00",60,0,0,0
41107,"04/08/2021,01:00",60,0,0,0
41107,"04/08/2021,02:00",60,0,0,0
41107,"04/08/2021,03:00",60,0,0,0
41107,"04/08/2021,04:00",60,0,0,0
41107,"04/08/2021,05:00",60,0,0,0
41107,"04/08/2021,06:00",60,0,0,0
41107,"04/08/2021,07:00",60,0,0,0
41107,"04/08/2021,08:00",60,0,0,0
41107,"04/08/2021,09:00",60,0,0,0
41107,"04/08/2021,10:00",60,0,0,0
41107,"04/08/2021,11:00",60,0,0,0
41107,"04/08/2021,12:00",60,0,0,0
41107,"04/08/2021,13:00",60,0,0,0
41107,"04/08/2021,14:00",60,0,0,0
41107,"04/08/2021,15:00",60,0,0,0
41107,"04/08/2021,16:00",60,0,0,0
41107,"04/08/2021,17:00",60,0,0,0
41107,"04/08/2021,18:00",60,0,0,0
41107,"04/08/2021,19:00",60,0,0,0
41107,"04/08/2021,20:00",60,0,0,0
41107,"04/08/2021,21:00",60,0,0,0
41107,"04/08/2021,22:00",60,0,0,0
41107,"04/08/2021,23:00",60,0,0,0
41107,"05/08/2021,00:00",60,0,0,0
41107,"05/08/2021,01:00",60,0,0,0
41107,"05/08/2021,02:00",60,0,0,0
