itemid,"system.cpu.load[percpu,avg1]_clock",num,value_min,"system.cpu.load[percpu,avg1]_avg",value_max
41128,"02/08/2021,14:00",60,0.1996,0.3285,0.5233
41128,"02/08/2021,15:00",60,0.2350,0.3619,0.5238
41128,"02/08/2021,16:00",60,0.2908,0.4358,0.6438
41128,"02/08/2021,17:00",60,0.3338,0.4035,0.5371
41128,"02/08/2021,18:00",60,0.2154,0.3272,0.4717
41128,"02/08/2021,19:00",60,0.2204,0.2798,0.3817
41128,"02/08/2021,20:00",60,0.2000,0.2833,0.3917
41128,"02/08/2021,21:00",60,0.2208,0.5080,1.4288
41128,"02/08/2021,22:00",60,0.2058,0.2842,0.3646
41128,"02/08/2021,23:00",60,0.2104,0.2819,0.3787
41128,"03/08/2021,00:00",58,0.2129,0.3078,0.3996
41128,"03/08/2021,01:00",60,0.1942,0.2690,0.3475
41128,"03/08/2021,02:00",60,0.2162,0.2764,0.3517
41128,"03/08/2021,03:00",60,0.1917,0.2896,0.4025
41128,"03/08/2021,04:00",60,0.2054,0.2792,0.3738
41128,"03/08/2021,05:00",60,0.2112,0.2858,0.3850
41128,"03/08/2021,06:00",60,0.2104,0.2728,0.3850
41128,"03/08/2021,07:00",60,0.2238,0.3078,0.3900
41128,"03/08/2021,08:00",60,0.2008,0.2833,0.4075
41128,"03/08/2021,09:00",60,0.2021,0.2849,0.3708
41128,"03/08/2021,10:00",60,0.2200,0.3081,0.4504
41128,"03/08/2021,11:00",60,0.2042,0.2767,0.3758
41128,"03/08/2021,12:00",60,0.2338,0.2971,0.3704
41128,"03/08/2021,13:00",60,0.1938,0.2714,0.3367
41128,"03/08/2021,14:00",60,0.2129,0.3105,0.4175
41128,"03/08/2021,15:00",60,0.2083,0.2746,0.3838
41128,"03/08/2021,16:00",60,0.1875,0.2658,0.3450
41128,"03/08/2021,17:00",60,0.1792,0.2782,0.3833
41128,"03/08/2021,18:00",60,0.2267,0.2937,0.3833
41128,"03/08/2021,19:00",60,0.1996,0.2855,0.3942
41128,"03/08/2021,20:00",60,0.2142,0.2750,0.3962
41128,"03/08/2021,21:00",60,0.2271,0.3410,1.1921
41128,"03/08/2021,22:00",60,0.2062,0.5339,1.7892
41128,"03/08/2021,23:00",60,0.2021,0.2948,0.4054
41128,"04/08/2021,00:00",58,0.2100,0.2935,0.3979
41128,"04/08/2021,01:00",60,0.2429,0.3143,0.3742
41128,"04/08/2021,02:00",58,0.2142,0.2774,0.3854
41128,"04/08/2021,03:00",60,0.2092,0.2831,0.3667
41128,"04/08/2021,04:00",60,0.2158,0.2960,0.4150
41128,"04/08/2021,05:00",60,0.2062,0.2790,0.4171
41128,"04/08/2021,06:00",58,0.2004,0.2761,0.3817
41128,"04/08/2021,07:00",60,0.2212,0.2867,0.3708
41128,"04/08/2021,08:00",60,0.2458,0.3040,0.3812
41128,"04/08/2021,09:00",60,0.1967,0.2804,0.3783
41128,"04/08/2021,10:00",60,0.2029,0.3151,0.5117
41128,"04/08/2021,11:00",60,0.2196,0.3191,0.4625
41128,"04/08/2021,12:00",60,0.2167,0.2870,0.4258
41128,"04/08/2021,13:00",60,0.2042,0.2811,0.3679
41128,"04/08/2021,14:00",60,0.2179,0.2959,0.4529
41128,"04/08/2021,15:00",60,0.2496,0.3103,0.4054
41128,"04/08/2021,16:00",60,0.2058,0.2921,0.3883
41128,"04/08/2021,17:00",60,0.2088,0.2887,0.4238
41128,"04/08/2021,18:00",60,0.2150,0.2990,0.3804
41128,"04/08/2021,19:00",60,0.1962,0.2851,0.3667
41128,"04/08/2021,20:00",60,0.2067,0.2861,0.4112
41128,"04/08/2021,21:00",60,0.1838,0.2919,0.3638
41128,"04/08/2021,22:00",60,0.2188,0.7821,3.0771
41128,"04/08/2021,23:00",60,0.2083,0.2754,0.3658
41128,"05/08/2021,00:00",58,0.1888,0.2881,0.3658
41128,"05/08/2021,01:00",60,0.2162,0.2945,0.4325
41128,"05/08/2021,02:00",60,0.2183,0.2807,0.3846
41128,"05/08/2021,03:00",60,0.2183,0.2754,0.3871
41128,"05/08/2021,04:00",60,0.2188,0.2896,0.3579
41128,"05/08/2021,05:00",60,0.2146,0.2961,0.3817
41128,"05/08/2021,06:00",60,0.2050,0.2847,0.3600
41128,"05/08/2021,07:00",60,0.1912,0.2767,0.3713
41128,"05/08/2021,08:00",60,0.2000,0.2902,0.4288
41128,"05/08/2021,09:00",60,0.2117,0.2915,0.4400
41128,"05/08/2021,10:00",60,0.1988,0.2750,0.3938
41128,"05/08/2021,11:00",60,0.2221,0.2901,0.3729
41128,"05/08/2021,12:00",60,0.2254,0.2921,0.3721
41128,"05/08/2021,13:00",60,0.2117,0.2943,0.3938
41128,"05/08/2021,14:00",60,0.2233,0.3072,0.4433
41128,"05/08/2021,15:00",60,0.2188,0.3067,0.3938
41128,"05/08/2021,16:00",60,0.2050,0.2879,0.4038
41128,"05/08/2021,17:00",60,0.2017,0.2773,0.4054
41128,"05/08/2021,18:00",60,0.2262,0.3033,0.4112
41128,"05/08/2021,19:00",60,0.2150,0.2970,0.4100
41128,"05/08/2021,20:00",60,0.2150,0.2899,0.3638
41128,"05/08/2021,21:00",60,0.2013,0.2928,0.3954
41128,"05/08/2021,22:00",60,0.2179,0.5798,2.5058
41128,"05/08/2021,23:00",60,0.2013,0.2771,0.4071
41128,"06/08/2021,00:00",60,0.2042,0.2761,0.3425
41128,"06/08/2021,01:00",60,0.2067,0.2913,0.3696
41128,"06/08/2021,02:00",60,0.2204,0.2901,0.3596
