itemid,"vfs.fs.size[,free]_clock",num,value_min,"vfs.fs.size[,free]_avg",value_max
41347,"02/08/2021,14:00",60,130822504448,130823364061,130823614464
41347,"02/08/2021,15:00",60,130821857280,130823004910,130823458816
41347,"02/08/2021,16:00",60,130820780032,130822448537,130822995968
41347,"02/08/2021,17:00",60,130820624384,130821766485,130821943296
41347,"02/08/2021,18:00",60,130820218880,130821557316,130821787648
41347,"02/08/2021,19:00",60,130820534272,130821381461,130821611520
41347,"02/08/2021,20:00",60,130819735552,130821065796,130821451776
41347,"02/08/2021,21:00",60,130819313664,130820426342,130820710400
41347,"02/08/2021,22:00",60,130819358720,130820275131,130820530176
41347,"02/08/2021,23:00",60,130819026944,130820534476,130823757824
41347,"03/08/2021,00:00",58,130822516736,130823621879,130823729152
41347,"03/08/2021,01:00",60,130822406144,130823277841,130823532544
41347,"03/08/2021,02:00",60,130822328320,130823219131,130823376896
41347,"03/08/2021,03:00",60,130821902336,130822858752,130823217152
41347,"03/08/2021,04:00",60,130821402624,130822572578,130822918144
41347,"03/08/2021,05:00",60,130821181440,130822317192,130822492160
41347,"03/08/2021,06:00",60,130820419584,130821687773,130822311936
41347,"03/08/2021,07:00",60,130819358720,130821226632,130821570560
41347,"03/08/2021,08:00",60,130818494464,130820895744,130821607424
41347,"03/08/2021,09:00",60,130818854912,130820818261,130821410816
41347,"03/08/2021,10:00",60,130818383872,130820597623,130821054464
41347,"03/08/2021,11:00",60,130817953792,130820240657,130820718592
41347,"03/08/2021,12:00",60,130817605632,130819661073,130820505600
41347,"03/08/2021,13:00",60,130817728512,130819259050,130820083712
41347,"03/08/2021,14:00",60,130816462848,130818494600,130819883008
41347,"03/08/2021,15:00",60,130816323584,130818442376,130818682880
41347,"03/08/2021,16:00",60,130816319488,130818026086,130818514944
41347,"03/08/2021,17:00",60,130816196608,130817449301,130818355200
41347,"03/08/2021,18:00",60,130814500864,130816409122,130816684032
41347,"03/08/2021,19:00",60,130814369792,130816309862,130816516096
41347,"03/08/2021,20:00",60,130813743104,130815896576,130816360448
41347,"03/08/2021,21:00",60,130813804544,130815920264,130816188416
41347,"03/08/2021,22:00",60,130813538304,130815673207,130816024576
41347,"03/08/2021,23:00",60,130815262720,130815654092,130816180224
41347,"04/08/2021,00:00",58,130815889408,130816025140,130816151552
41347,"04/08/2021,01:00",60,130812399616,130815102566,130815979520
41347,"04/08/2021,02:00",58,130812264448,130812511691,130812608512
41347,"04/08/2021,03:00",60,130811920384,130812328618,130812440576
41347,"04/08/2021,04:00",60,130811805696,130812848469,130815897600
41347,"04/08/2021,05:00",60,130814128128,130814971289,130815639552
41347,"04/08/2021,06:00",58,130814050304,130814399947,130814504960
41347,"04/08/2021,07:00",60,130813853696,130814250734,130814341120
41347,"04/08/2021,08:00",60,130813374464,130813744878,130814697472
41347,"04/08/2021,09:00",60,130813112320,130813463210,130813624320
41347,"04/08/2021,10:00",60,130812772352,130813263667,130813456384
41347,"04/08/2021,11:00",60,130812485632,130813144064,130813292544
41347,"04/08/2021,12:00",60,130812530688,130812989508,130813120512
41347,"04/08/2021,13:00",60,130812207104,130812781021,130812964864
41347,"04/08/2021,14:00",60,130812059648,130812585915,130812792832
41347,"04/08/2021,15:00",60,130811965440,130812436275,130812633088
41347,"04/08/2021,16:00",60,130809487360,130810188526,130812252160
41347,"04/08/2021,17:00",60,130809450496,130810028236,130810155008
41347,"04/08/2021,18:00",60,130807410688,130809749230,130811596800
41347,"04/08/2021,19:00",60,130806497280,130807209437,130807386112
41347,"04/08/2021,20:00",60,130806484992,130807066146,130807222272
41347,"04/08/2021,21:00",60,130806288384,130808982732,130810851328
41347,"04/08/2021,22:00",60,130809360384,130809860505,130810167296
41347,"04/08/2021,23:00",60,130809204736,130810369706,130816086016
41347,"05/08/2021,00:00",58,130814988288,130815798236,130816061440
41347,"05/08/2021,01:00",60,130814062592,130815226197,130815885312
41347,"05/08/2021,02:00",60,130813378560,130814384947,130814681088
41347,"05/08/2021,03:00",60,130812526592,130813459524,130815242240
41347,"05/08/2021,04:00",60,130811801600,130812822664,130813054976
41347,"05/08/2021,05:00",60,130811604992,130812629606,130812891136
41347,"05/08/2021,06:00",60,130811953152,130812537856,130812710912
41347,"05/08/2021,07:00",60,130811756544,130812374698,130812542976
41347,"05/08/2021,08:00",60,130811822080,130812193245,130812379136
41347,"05/08/2021,09:00",60,130811637760,130812003396,130812215296
41347,"05/08/2021,10:00",60,130811510784,130811848704,130812051456
41347,"05/08/2021,11:00",60,130811199488,130811663086,130811887616
41347,"05/08/2021,12:00",60,130811142144,130811540889,130811723776
41347,"05/08/2021,13:00",60,130807377920,130809053525,130812256256
41347,"05/08/2021,14:00",60,130807058432,130807684573,130807848960
41347,"05/08/2021,15:00",60,130806722560,130807409049,130807693312
41347,"05/08/2021,16:00",60,130806816768,130807319961,130807545856
41347,"05/08/2021,17:00",60,130807070720,130809581704,130810548224
41347,"05/08/2021,18:00",60,130809278464,130809999837,130810404864
