itemid,vm.memory.size[available]_clock,num,value_min,vm.memory.size[available]_avg,value_max
41148,"02/08/2021,14:00",60,30214684672,31556261546,32743256064
41148,"02/08/2021,15:00",60,29865091072,31085909128,32628850688
41148,"02/08/2021,16:00",60,29115076608,30753692330,32769056768
41148,"02/08/2021,17:00",60,31814094848,32159057851,32658681856
41148,"02/08/2021,18:00",60,31926505472,32700470272,33618337792
41148,"02/08/2021,19:00",60,31851032576,32676150135,33673814016
41148,"02/08/2021,20:00",60,32974606336,33269917764,33646186496
41148,"02/08/2021,21:00",60,32887414784,33219797947,33735499776
41148,"02/08/2021,22:00",60,33120722944,33341369480,33755697152
41148,"02/08/2021,23:00",60,32981696512,33309978214,33691684864
41148,"03/08/2021,00:00",59,32788451328,33436293710,34122620928
41148,"03/08/2021,01:00",60,33808162816,34012703880,34471002112
41148,"03/08/2021,02:00",60,33503211520,33987839522,34398470144
41148,"03/08/2021,03:00",60,33517043712,33916367121,34345697280
41148,"03/08/2021,04:00",60,33790226432,33995415074,34390212608
41148,"03/08/2021,05:00",60,33378508800,33793723596,34303885312
41148,"03/08/2021,06:00",60,33070624768,33468888405,33997381632
41148,"03/08/2021,07:00",60,32974520320,33432636347,33874513920
41148,"03/08/2021,08:00",60,32972509184,33453482393,33980964864
41148,"03/08/2021,09:00",60,32786608128,33324203008,33916198912
41148,"03/08/2021,10:00",60,32881205248,33395811054,33877966848
41148,"03/08/2021,11:00",60,33282416640,33576975223,33969909760
41148,"03/08/2021,12:00",60,33140420608,33454097271,33861808128
41148,"03/08/2021,13:00",60,33244147712,33486794956,33974575104
41148,"03/08/2021,14:00",60,33237852160,33425673147,33755373568
41148,"03/08/2021,15:00",60,33212895232,33532308616,33966469120
41148,"03/08/2021,16:00",60,33176522752,33509641284,33972793344
41148,"03/08/2021,17:00",60,33112780800,33610121489,34028113920
41148,"03/08/2021,18:00",60,32825393152,33589369651,34189647872
41148,"03/08/2021,19:00",60,32924909568,33436427264,33911648256
41148,"03/08/2021,20:00",60,33061580800,33503677235,34019590144
41148,"03/08/2021,21:00",60,33409425408,33611111970,33990782976
41148,"03/08/2021,22:00",60,33404035072,33619922056,33995083776
41148,"03/08/2021,23:00",60,33355526144,33609162820,33993568256
41148,"04/08/2021,00:00",58,32893480960,33322432158,33956970496
41148,"04/08/2021,01:00",60,33173782528,33450166135,33861656576
41148,"04/08/2021,02:00",58,33144463360,33409653018,33816215552
41148,"04/08/2021,03:00",60,33252302848,33486903978,33835212800
41148,"04/08/2021,04:00",60,33154150400,33395719372,33810538496
41148,"04/08/2021,05:00",60,33015050240,33361989222,33751076864
41148,"04/08/2021,06:00",58,32543707136,32976680324,33551769600
